depart_time,start,end,request_id
19024,768,761,40
18965,767,733,56
21546,746,752,333
21334,739,733,361
21517,749,752,372
21600,748,763,406
22589,753,747,500
22252,745,748,508
22341,741,739,514
22605,761,732,583
22748,749,748,607
23099,772,745,739
24153,734,760,1098
24986,756,747,1178
24705,760,732,1255
25499,740,733,1549
25820,768,757,1600
25857,755,756,1620
26229,745,763,1886
26385,772,752,2062
26524,737,741,2105
26393,746,746,2117
26384,748,751,2173
26929,765,764,2517
27099,754,753,2567
26982,756,754,2572
27090,751,751,2640
27050,752,751,2669
27075,746,745,2688
27229,746,748,2741
27220,735,746,2793
27523,748,752,2794
27573,745,751,2843
27460,734,757,2984
27577,756,747,2999
27420,772,749,3030
27692,769,771,3168
27901,739,733,3306
28239,749,752,3571
28419,745,748,3880
28582,753,743,3917
28901,749,748,4004
28945,739,741,4152
29008,749,746,4164
29342,745,751,4210
29098,760,734,4227
29477,772,745,4338
29089,770,770,4384
29277,749,763,4484
29523,744,749,4548
29741,733,738,4618
29703,739,741,4956
29822,749,772,5112
29889,740,741,5217
29845,772,735,5233
30390,769,764,5366
30331,765,771,5457
30388,765,764,5599
30251,733,737,5631
30385,746,735,5821
30319,767,740,5837
30349,745,751,5861
30529,772,745,5874
30486,758,758,6035
30949,735,763,6299
30923,772,752,6332
31102,754,753,6338
31195,749,748,6350
31681,761,732,6474
31742,772,749,7007
31463,753,743,7021
31540,740,733,7036
31507,740,767,7098
31737,765,764,7100
31496,744,763,7170
31575,771,765,7363
31676,752,749,7410
31847,749,752,7486
31800,744,746,7644
32121,754,753,7873
32079,754,755,7874
32066,756,743,7922
32211,749,752,7937
33033,754,753,8066
32595,752,763,8110
32368,734,760,8173
32707,749,751,8277
32682,767,741,8572
32755,755,747,8630
33262,746,748,8684
33061,735,762,8938
33326,756,753,9201
33540,749,735,9221
33913,754,743,9308
33772,752,746,9413
34156,752,763,9594
33900,735,734,9637
34333,755,754,9808
34788,746,744,9934
34676,769,771,9949
34749,772,749,10072
34759,756,747,10143
34835,772,751,10198
34911,772,732,10210
35235,754,743,10246
34991,765,732,10288
35046,734,763,10343
35061,740,738,10379
35177,754,756,10474
35349,764,765,10485
35327,768,759,10522
35466,758,765,10640
35501,769,766,10676
35671,746,749,10738
35785,758,765,10928
35929,740,733,10991
36213,735,763,11114
36121,756,747,11117
36133,764,764,11177
36292,737,741,11246
36715,749,748,11282
36356,746,763,11284
36985,772,749,11450
36802,771,765,11483
36858,749,748,11491
36771,748,745,11623
37071,748,772,11678
36942,733,750,11752
37044,746,746,11765
37127,752,735,11816
37174,740,740,11877
37467,737,763,11895
37203,758,770,11925
37338,758,765,11982
37507,752,751,12114
38240,772,746,12397
37975,772,735,12440
38007,746,751,12470
38241,764,769,12601
38260,746,751,12606
38277,749,745,12680
38266,739,739,12688
38454,745,751,12770
38350,752,751,12810
38484,744,735,12913
38524,752,749,12933
38830,749,746,12970
38853,755,755,13111
38998,754,743,13220
39029,741,733,13313
39324,746,763,13334
39307,741,739,13337
39221,765,766,13374
39215,733,737,13409
39659,737,741,13559
39555,749,751,13585
39874,755,745,13923
40559,756,753,13983
39996,772,748,14006
40279,772,745,14274
40490,772,748,14370
40692,755,752,14469
40833,739,740,14600
41072,764,766,14774
41100,734,751,14792
41047,734,732,14812
41775,755,755,14830
42068,754,753,15347
41843,769,766,15358
41925,769,766,15409
41972,772,748,15432
41985,772,735,15515
42046,740,737,15520
42094,748,763,15552
42275,752,748,15614
42643,772,746,15826
42484,746,735,15885
42876,772,735,15915
43305,746,752,16100
43043,761,734,16186
43552,753,747,16481
43761,769,766,16558
43517,739,751,16676
44091,749,763,16947
44076,753,756,16980
44243,769,770,17124
44285,756,754,17201
44531,769,771,17222
44344,739,741,17223
44592,745,745,17507
44776,772,745,17559
44803,734,760,17596
44866,764,765,17701
45252,745,744,17834
45243,756,747,17893
45817,756,747,17943
45403,741,737,17951
45428,756,743,18024
45652,752,751,18081
45973,761,734,18143
45522,733,739,18176
45741,735,751,18258
46241,756,754,18460
46001,745,732,18513
46303,754,755,18553
46218,752,751,18628
46297,754,755,18649
46251,737,739,18673
46592,768,761,18900
46677,761,732,18966
46925,739,750,19179
46954,772,734,19199
47356,759,734,19279
47287,772,735,19295
47565,754,747,19362
47476,748,763,19453
47425,753,755,19469
47528,735,751,19481
47706,756,755,19502
47626,745,746,19677
48349,749,746,19786
47905,734,760,19818
47783,737,745,19846
48167,733,738,20044
48104,753,755,20075
48260,756,743,20087
48361,761,734,20215
48884,772,751,20587
48914,733,733,20897
49180,745,772,20898
49072,749,735,20965
49016,767,750,20994
49282,760,732,21219
49546,739,740,21257
49715,772,745,21385
49605,735,751,21417
49629,772,735,21424
49856,772,735,21701
49878,744,735,21737
50000,772,746,21767
50294,752,751,22008
50295,767,733,22040
50470,745,746,22066
50289,764,758,22093
50688,754,755,22195
