from_node,to_node,distance,travel_time,source_edge_id,,
2,1,154.1460347,2.627483256,131073,,46.98371138
2,7,239.1756677,2.717899138,116514,,72.90074351
3,1,76.6093989,1.492387496,40063,,23.35054478
3,7,308.196366,5.253335208,131160,,93.93825236
4,2,69.12332458,1.178235809,131081,,21.06878933
5,4,60.63804087,1.03360062,131082,,18.48247486
6,0,384.0795118,7.482051407,37333,,117.0674352
7,716,3.8972277,0.044286578,215922,,1.187875003
8,698,348.1121617,6.781390335,169623,,106.1045869
9,6,384.025364,7.480996582,37334,,117.0509309
10,8,386.2913408,7.525138887,40071,,117.7416007
11,9,347.5439878,6.770322038,37335,,105.9314075
12,10,318.5407492,6.205325167,40072,,97.09122036
12,16,822.7696056,12.46617781,139326,,250.7801758
13,5,1125.200871,12.78634447,37584,,342.9612255
13,5,1150.834875,19.61645897,212962,,350.7744699
14,11,677.1069041,13.19036426,37314,,206.3821844
14,715,486.8123638,5.531946107,215921,,148.3804085
15,14,97.01546269,1.889907316,37324,,29.57031303
16,17,30.74908039,0.349420574,137260,,9.372319703
17,15,83.72475142,1.630997944,37323,,25.51930423
17,22,302.8356991,3.441306941,116510,,92.30432109
18,14,270.1148601,3.06948007,37580,,82.33100936
18,11,959.7820428,16.359884,131071,,292.5415666
19,20,47.75981575,0.930383907,42033,,14.55719184
20,18,208.9519443,2.374448516,137271,,63.68855262
20,21,30.6757233,0.597577667,42031,,9.349960462
21,22,31.95309062,0.62246139,42032,,9.739302021
22,23,158.4834376,3.087332677,42030,,48.30575178
22,31,793.1962673,9.013573461,116508,,241.7662223
23,17,288.1483837,5.613267445,37321,,87.82762735
23,24,283.1342438,5.515589617,42026,,86.29931751
24,25,275.5303976,5.367463079,42028,,83.98166519
25,27,289.1158937,5.632114999,42027,,88.1225244
26,20,397.7587208,4.519975191,37579,,121.2368581
27,35,1101.780831,21.46321416,42023,,335.8227973
28,23,376.6337744,7.337004904,37317,,114.7979744
28,29,273.6512379,9.328998272,39641,,83.40889731
29,24,376.6974914,7.338246142,40058,,114.8173954
30,26,389.9355526,4.431075754,37577,,118.8523564
31,36,113.4636506,1.289356736,116509,,34.5837207
32,30,53.60097032,0.609100551,37578,,16.33757575
33,32,30.80486978,1.050163628,54932,,9.389324309
34,37,234.0299126,7.978274343,39435,,71.33231736
35,43,318.9868302,10.87452631,42025,,97.22718584
35,730,996.4491985,19.41130391,42024,,303.7177157
36,33,43.1750391,1.471872988,54931,,13.15975192
36,53,662.9607832,7.533628142,116506,,202.0704467
37,28,390.3562476,7.604325203,37318,,118.9805843
37,40,276.4091171,9.423016667,39434,,84.24949889
38,36,112.2942563,3.828204582,54929,,34.22728932
39,32,213.5158074,2.426310479,37575,,65.0796181
40,29,386.1825993,7.523020551,40059,,117.7084563
40,41,184.1289192,6.277107979,39432,,56.12249457
41,42,90.39248251,6.1631098,138430,,27.55162867
42,44,123.7040499,4.217173935,138431,,37.70499441
