from_node,to_node,distance,travel_time,source_edge_id
2,1,46.98371138,2.627483256,131073
2,7,72.90074351,2.717899138,116514
3,1,23.35054478,1.492387496,40063
3,7,93.93825236,5.253335208,131160
4,2,21.06878933,1.178235809,131081
5,4,18.48247486,1.03360062,131082
6,0,117.0674352,7.482051407,37333
7,716,1.187875003,0.044286578,215922
8,698,106.1045869,6.781390335,169623
9,6,117.0509309,7.480996582,37334
10,8,117.7416007,7.525138887,40071
11,9,105.9314075,6.770322038,37335
12,10,97.09122036,6.205325167,40072
12,16,250.7801758,12.46617781,139326
13,5,342.9612255,12.78634447,37584
13,5,350.7744699,19.61645897,212962
14,11,206.3821844,13.19036426,37314
14,715,148.3804085,5.531946107,215921
15,14,29.57031303,1.889907316,37324
16,17,9.372319703,0.349420574,137260
17,15,25.51930423,1.630997944,37323
17,22,92.30432109,3.441306941,116510
18,14,82.33100936,3.06948007,37580
18,11,292.5415666,16.359884,131071
19,20,14.55719184,0.930383907,42033
20,18,63.68855262,2.374448516,137271
20,21,9.349960462,0.597577667,42031
21,22,9.739302021,0.62246139,42032
22,23,48.30575178,3.087332677,42030
22,31,241.7662223,9.013573461,116508
23,17,87.82762735,5.613267445,37321
23,24,86.29931751,5.515589617,42026
24,25,83.98166519,5.367463079,42028
25,27,88.1225244,5.632114999,42027
26,20,121.2368581,4.519975191,37579
27,35,335.8227973,21.46321416,42023
28,23,114.7979744,7.337004904,37317
28,29,83.40889731,9.328998272,39641
29,24,114.8173954,7.338246142,40058
30,26,118.8523564,4.431075754,37577
31,36,34.5837207,1.289356736,116509
32,30,16.33757575,0.609100551,37578
33,32,9.389324309,1.050163628,54932
34,37,71.33231736,7.978274343,39435
35,43,97.22718584,10.87452631,42025
35,730,303.7177157,19.41130391,42024
36,33,13.15975192,1.471872988,54931
36,53,202.0704467,7.533628142,116506
37,28,118.9805843,7.604325203,37318
37,40,84.24949889,9.423016667,39434
38,36,34.22728932,3.828204582,54929
39,32,65.0796181,2.426310479,37575
40,29,117.7084563,7.523020551,40059
40,41,56.12249457,6.277107979,39432
41,42,27.55162867,6.1631098,138430
42,44,37.70499441,4.217173935,138431
42,25,231.6642421,51.82169729,14594
43,730,253.4052468,16.19571728,33849
44,46,50.50024966,5.648279224,39433
45,38,57.37069922,6.416715376,19355
45,34,116.3698632,13.01556893,19354
45,47,83.12270983,9.296989186,38325
46,27,230.9877285,14.76296167,36367
47,49,84.37236182,9.436758463,38324
47,37,112.7055445,7.20327285,37319
48,50,67.4749316,4.312479436,34281
48,39,207.6446748,10.32193007,131012
49,55,72.96775093,8.161191962,38326
49,40,113.9560746,7.28319713,40061
50,51,5.109379051,0.32655227,34282
51,52,14.55747903,0.930402261,34284
51,39,158.9563415,5.926240016,37593
52,53,10.92585351,0.698296648,34285
53,54,3.720558153,0.138710544,116522
53,57,38.94408977,2.489007137,34283
54,66,122.1031235,4.552271458,116515
54,67,115.4725457,6.45760353,131251
55,56,10.69249248,2.391837011,161533
56,42,116.5599995,26.07367004,14595
57,38,174.4904876,19.51616086,54928
57,59,57.08148053,5.107493808,34273
58,43,278.9086786,17.82570078,33848
59,45,117.0535183,13.09203341,19351
59,61,83.39442236,7.461903438,34278
60,48,76.59460865,6.853474818,131070
60,50,119.0596003,7.609375302,134302
61,62,83.74395002,7.493178212,34274
61,47,117.8968608,7.535061922,37320
62,49,117.3671777,7.501208643,40052
62,70,84.71842196,7.580371279,34275
63,60,58.78203194,3.287284043,131066
63,64,63.127624,5.648486089,32496
64,51,128.7642024,4.800611046,37585
64,65,12.43344918,1.11251082,32497
65,66,11.9767397,1.071645712,32498
66,108,308.3203793,11.49485798,116517
66,67,30.65627428,2.743039067,32494
67,68,20.1467036,1.802671601,32495
67,71,21.55261469,1.20529291,131254
68,57,120.2983876,13.45496087,54944
68,71,32.54189967,2.911759638,131151
68,72,82.01217027,7.338223325,32493
69,64,28.16886339,1.050196827,37590
70,56,114.530197,25.61961719,14589
70,73,88.51278645,7.919880573,34276
71,108,301.030429,14.96409692,131150
71,83,218.3521286,12.21096727,131253
72,59,117.599823,13.15313571,19352
72,74,83.949169,7.511540641,32487
73,75,144.5269553,12.93187427,34277
73,46,231.9513982,14.82455204,217836
74,61,116.071285,12.98217399,37316
74,76,83.70955298,7.490100459,32486
75,58,209.2803435,13.37559233,33847
76,62,116.0027283,12.97450615,40057
76,78,84.7142412,7.579997196,32489
77,68,117.4752827,13.13920631,54948
77,80,83.20146765,9.305797978,29342
78,81,88.69637895,7.936307925,32490
78,70,115.8830536,25.92224191,14593
79,63,176.540786,9.872739843,131067
79,69,187.0531996,9.298336442,131010
80,82,83.48849794,9.337901327,29340
80,72,115.8302193,12.95521162,19374
81,85,155.6821014,13.93000604,32488
81,73,115.4938642,7.381480836,36369
82,84,84.58659809,9.460720053,29339
82,74,115.7369261,12.9447771,37313
83,87,22.58712076,2.021033413,131255
83,122,107.8757175,6.032763977,131249
84,100,71.53146722,8.000548569,29341
84,76,115.9976831,12.97394187,40056
85,75,118.5521562,7.576943369,33851
87,125,105.6403408,9.452407006,131252
88,69,249.4162925,9.298784808,37587
89,90,48.28049791,1.800002542,37573
90,91,12.83421566,0.478487626,37599
91,92,14.07370887,0.524698643,37598
92,94,7.658312183,0.285518625,137356
92,96,14.71271841,0.822783474,131469
92,103,11.18246359,0.500288036,131480
92,93,189.4273022,10.5933961,138120
93,95,2.076378899,0.116117919,131483
94,95,171.9051342,9.613498988,137773
94,132,335.90776,12.52337586,37595
95,119,81.96910185,3.3338044,134882
96,98,6.283612974,0.351400249,131471
97,86,18.17106556,1.161354961,51936
97,89,332.9621816,12.41355825,37629
98,90,9.49294205,0.530876458,134785
98,102,9.829504646,0.549698143,131470
99,90,9.624153516,0.538214234,134886
100,106,12.28855741,2.748865758,161662
101,98,5.392462472,0.30156419,134786
101,92,18.95160027,1.059835652,134892
102,99,2.457376162,0.137424536,102098
102,109,14.99417743,0.838523586,131466
103,112,11.56634677,0.517462441,131479
104,114,38.50153169,1.435421297,37630
104,116,39.06318513,2.184541448,131244
105,77,114.0813209,12.75960335,54949
105,113,82.73116503,9.253196247,27089
106,78,116.8431057,26.13699896,14592
107,97,11.4926739,0.734523454,51940
108,130,112.0379541,4.177019935,116518
109,104,318.9863844,11.89250997,116552
109,118,101.4623728,5.674108705,131473
110,109,12.25250507,0.456800183,37574
110,102,8.018082501,0.448397474,134885
110,101,16.06237584,0.898260745,134891
111,110,10.82391966,0.403539395,116529
112,111,12.67762881,0.472649725,116528
112,101,16.09390181,0.900023781,134784
112,153,122.4009409,6.845062117,131476
113,80,98.63091033,11.03152807,19372
114,107,10.92585351,0.698296648,51941
114,167,241.7146869,9.011652109,116551
115,112,45.34149726,1.690430171,116527
116,114,7.245013293,0.46304561,51938
116,190,304.0586864,17.00395912,131242
117,121,116.807962,6.532284391,131188
118,117,132.0343278,7.383792707,134787
118,134,102.4678922,9.168545039,131472
119,132,92.57653272,3.765224276,131009
120,79,161.0719963,9.007674383,131069
