node_index,is_stop_only,pos_x,pos_y
0,FALSE,6277354,1848707
1,FALSE,6277089,1848601
2,FALSE,6277233,1848546
3,FALSE,6277134,1848539
4,FALSE,6277300,1848528.999
5,FALSE,6277359,1848515
6,FALSE,6277594,1848408
7,FALSE,6277387,1848363
8,FALSE,6277355,1848234
9,FALSE,6277814,1848094
10,FALSE,6277580,1847920
11,FALSE,6278012,1847809
12,FALSE,6277762,1847659
13,FALSE,6278033,1847614
14,FALSE,6278321,1847217
15,FALSE,6278335,1847121
16,FALSE,6278328.456,1847063.254
17,FALSE,6278346,1847038.001
18,FALSE,6278479.438,1846998.232
19,FALSE,6278647,1846845
20,FALSE,6278602,1846829
21,FALSE,6278573,1846819
22,FALSE,6278543,1846808
23,FALSE,6278394,1846754
24,FALSE,6278128,1846657
25,FALSE,6277869,1846563
26,FALSE,6278818,1846495
27,FALSE,6277597,1846465
28,FALSE,6278511,1846396
29,FALSE,6278254,1846302
30,FALSE,6279048.999,1846181
31,FALSE,6278999,1846159
32,FALSE,6279081,1846138
33,FALSE,6279074,1846108.001
34,FALSE,6278865,1846106
35,FALSE,6276561,1846090
36,FALSE,6279064,1846066
37,FALSE,6278644,1846029
38,FALSE,6279037,1845957
39,FALSE,6279191,1845955
40,FALSE,6278383,1845938
41,FALSE,6278209.282,1845876.963
42,FALSE,6278124,1845847
43,FALSE,6276454,1845809
44,FALSE,6278007.301,1845805.963
45,FALSE,6279025,1845775
46,FALSE,6277851,1845751
47,FALSE,6278769,1845681
48,FALSE,6279760,1845603
49,FALSE,6278509,1845586
50,FALSE,6279544,1845562
51,FALSE,6279528,1845557
52,FALSE,6279482.999,1845541
53,FALSE,6279450,1845527
54,FALSE,6279457,1845517
55,FALSE,6278285.719,1845499.653
56,FALSE,6278253,1845487
57,FALSE,6279332,1845478
58,FALSE,6277272,1845432
59,FALSE,6279156,1845414
60,FALSE,6279885,1845385
61,FALSE,6278900.129,1845317.104
62,FALSE,6278641.475,1845224.443
63,FALSE,6279983,1845219
64,FALSE,6279776,1845215
65,FALSE,6279736,1845207
66,FALSE,6279698,1845197
67,FALSE,6279602,1845167
68,FALSE,6279539,1845147.001
69,FALSE,6279830,1845140
70,FALSE,6278379,1845133
71,FALSE,6279636,1845105
72,FALSE,6279287.531,1845051.286
73,FALSE,6278106,1845034
74,FALSE,6279028.214,1844958.48
75,FALSE,6277660,1844873
76,FALSE,6278769.591,1844866.068
77,FALSE,6279674,1844786
78,FALSE,6278507,1844775.001
79,FALSE,6280278,1844721
80,FALSE,6279417,1844694
81,FALSE,6278233,1844677
82,FALSE,6279159,1844602
83,FALSE,6280087,1844554
84,FALSE,6278897.961,1844507.802
85,FALSE,6277755,1844497
86,FALSE,6284506,1844496.001
87,FALSE,6280129,1844493
88,FALSE,6280327,1844490
89,FALSE,6283405,1844484
90,FALSE,6283248,1844463
91,TRUE,6283206,1844460
92,FALSE,6283160,1844456
93,FALSE,6282575.817,1844453.817
94,FALSE,6283134.973,1844453.776
95,FALSE,6282571,1844449
